log | 2022-09-07 23:10 | Loaded commands/filter.js
log | 2022-09-07 23:10 | Loaded commands/gossip.js
log | 2022-09-07 23:10 | Loaded commands/list.js
log | 2022-09-07 23:10 | Loaded commands/log.js
log | 2022-09-07 23:10 | Loaded commands/logChannel.js
log | 2022-09-07 23:10 | Loaded commands/mods.js
log | 2022-09-07 23:10 | Loaded commands/relay.js
log | 2022-09-07 23:10 | Loaded commands/run.js
log | 2022-09-07 23:10 | Loaded commands/threads.js
log | 2022-09-07 23:10 | Loaded commands/tlhelp.js
log | 2022-09-07 23:10 | Loaded commands/twitcast.js
log | 2022-09-07 23:10 | Loaded commands/unblacklist.js
log | 2022-09-07 23:10 | Loaded commands/viewblacklist.js
log | 2022-09-07 23:10 | Loaded commands/youtube.js
log | 2022-09-07 23:10 | Loaded 20 commands.
log | 2022-09-13 23:20 | Loaded commands/admins.js
log | 2022-09-13 23:20 | Loaded commands/blacklist.js
log | 2022-09-13 23:20 | Loaded commands/blacklisters.js
log | 2022-09-13 23:20 | Loaded commands/cameos.js
log | 2022-09-13 23:20 | Loaded commands/community.js
log | 2022-09-13 23:20 | Loaded commands/deepl.js
log | 2022-09-13 23:20 | Loaded commands/filter.js
log | 2022-09-13 23:20 | Loaded commands/gossip.js
log | 2022-09-13 23:20 | Loaded commands/list.js
log | 2022-09-13 23:20 | Loaded commands/log.js
log | 2022-09-13 23:20 | Loaded commands/logChannel.js
log | 2022-09-13 23:20 | Loaded commands/mods.js
log | 2022-09-13 23:20 | Loaded commands/relay.js
log | 2022-09-13 23:20 | Loaded commands/run.js
log | 2022-09-13 23:20 | Loaded commands/threads.js
log | 2022-09-13 23:20 | Loaded commands/tlhelp.js
log | 2022-09-13 23:20 | Loaded commands/twitcast.js
log | 2022-09-13 23:20 | Loaded commands/unblacklist.js
log | 2022-09-13 23:20 | Loaded commands/viewblacklist.js
log | 2022-09-13 23:20 | Loaded commands/youtube.js
log | 2022-09-13 23:20 | Loaded 18 commands.
log | 2022-09-13 23:20 | Loaded events/error.js
